机构,户头,成交数量,成交单价,买入手续费,成交日期,权益类持仓
国泰君安,czh,100,1.565,0,2015/11/10,基金/长期/513100纳指EFT
国泰君安,czh,400,1.521,0,2016/1/11,基金/长期/513100纳指EFT
国泰君安,czh,800,1.515,0,2016/3/17,基金/长期/513100纳指EFT
国泰君安,czh,700,1.551,0,2016/4/18,基金/长期/513100纳指EFT
国泰君安,czh,500,1.517,0,2016/5/17,基金/长期/513100纳指EFT
国泰君安,czh,1200,1.548,0,2016/6/20,基金/长期/513100纳指EFT
国泰君安,czh,900,1.617,0.003628646,2016/7/18,基金/长期/513100纳指EFT
国泰君安,czh,800,1.166,0,2015/5/13,基金/长期/513500标普500
国泰君安,czh,900,1.157,0,2015/6/10,基金/长期/513500标普500
国泰君安,czh,1000,1.133,0,2015/7/10,基金/长期/513500标普500
国泰君安,czh,1100,1.168,0,2015/8/10,基金/长期/513500标普500
国泰君安,czh,400,1.172,0,2015/10/16,基金/长期/513500标普500
国泰君安,czh,400,1.21,0,2015/11/10,基金/长期/513500标普500
国泰君安,czh,500,1.177,0,2016/1/11,基金/长期/513500标普500
国泰君安,czh,800,1.212,0,2016/3/17,基金/长期/513500标普500
国泰君安,czh,900,1.231,0.004492767,2016/4/18,基金/长期/513500标普500
国泰君安,czh,400,1.243,0,2016/5/17,基金/长期/513500标普500
国泰君安,czh,1500,1.266,0,2016/6/20,基金/长期/513500标普500
国泰君安,czh,900,1.347,0.004107451,2016/7/18,基金/长期/513500标普500
财富证券,czh,100,15.4,0.003149351,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,1600,15.33,0.000201402,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,100,15.4,0.003149351,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,200,15.38,0.001547464,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,300,15.39,0.001035304,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,1200,15.34,0.000222729,2016/8/8,股票/股票雷达跟投/603618杭电股份
财富证券,czh,700,25.23,0.000263292,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,300,25.323,0.000651582,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,300,22.5,0.000761481,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,800,22.4,0.000299107,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,500,14.26,0.000720898,2016/8/9,股票/股票雷达跟投/600872中炬高新
国泰君安,czh,1800,5.38,0.001520033,2016/7/27,股票/股票雷达跟投/600313农发种业
国泰君安,czh,500,5.37,0.001880819,2016/7/27,股票/股票雷达跟投/600313农发种业
财富证券,czh,400,22.8,0.000528509,2016/8/9,股票/股票雷达跟投/002772众兴菌业
财富证券,czh,200,40,0.000645,2016/8/9,股票/股票雷达跟投/600680上海普天
财富证券,czh,1000,8.63,0.000488992,2016/8/11,股票/股票雷达跟投/000554泰山石油
蚂蚁聚宝,czh,935.04,1.0684,0.001004272,2016/7/26,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,923.46,1.0818,0.001001975,2016/8/18,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,7903.2,1.264298006,0.0008,2016/4/8,基金/可转债/519977长信可转债债券A
蚂蚁聚宝,czh,228.02,1.195498455,0.0008,2016/6/15,基金/可转债/519977长信可转债债券A
财富证券,czh,500,15.8,0.001177215,2016/8/16,股票/股票雷达跟投/000055方大集团
国泰君安,czh,100,27.3167232,0.0016,2016/7/1,股票/股票雷达跟投/600571DR信雅达
财富证券,czh,300,16.75,0.000975124,2016/8/16,股票/股票雷达跟投/002440闰土股份
富国基金,czh,504.04,1.981,0,2016/3/17,基金/进取/100056富国低碳环保
富国基金,czh,497.01,2.012031951,0,2016/4/20,基金/进取/100056富国低碳环保
富国基金,czh,495.78,2.013998144,0.0015,2016/5/17,基金/进取/100056富国低碳环保
富国基金,czh,483.07,2.066988221,0.0015,2016/6/23,基金/进取/100056富国低碳环保
富国基金,czh,454.07,2.199000154,0.0015,2016/7/18,基金/进取/100056富国低碳环保
