机构,户头,成交数量,成交单价,成交日期,权益类持仓
蚂蚁聚宝,czh,613.51,1.628009323,2016/6/23,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,507.92,1.758,2016/7/18,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,511.15,1.827,2016/8/18,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,632.74,1.779,2016/9/19,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,1534.1,1.302001173,2016/5/5,基金/谱蓝/270042纳斯达克100指数20%
蚂蚁聚宝,czh,1545.98,1.291996015,2016/5/17,基金/谱蓝/270042纳斯达克100指数20%
蚂蚁聚宝,czh,1513.18,1.320001586,2016/6/23,基金/谱蓝/270042纳斯达克100指数20%
蚂蚁聚宝,czh,1245.92,1.446845303,2016/7/18,基金/谱蓝/040046纳斯达克100指数20%
蚂蚁聚宝,czh,1313.64,1.472,2016/8/18,基金/谱蓝/040046纳斯达克100指数20%
蚂蚁聚宝,czh,1307.89,1.48,2016/9/19,基金/谱蓝/040046纳斯达克100指数20%
蚂蚁聚宝,czh,2529.62,1.185000119,2016/5/5,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,2512.66,1.192998655,2016/5/17,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,2573.05,1.164998737,2016/6/23,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,2600.89,1.209002457,2016/7/18,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,259.96,1.209002457,2016/7/21,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,839.66,1.19,2016/8/18,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,840.37,1.189,2016/8/19,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,834.06,1.198,2016/8/22,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,836.15,1.195,2016/9/19,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,837.55,1.193,2016/9/20,基金/谱蓝/000290鹏华全球高收益债30%
