机构,户头,成交数量,成交单价,成交金额,成交日期,权益类持仓
谱蓝,czh,10000,1,1927/5/18,42662,基金/谱蓝组合/zh0011谱蓝
蚂蚁聚宝,czh,4.208045784,237.64,1902/9/26,42069,基金/黄金ETFI/000930博时黄金ETFI
蚂蚁聚宝,czh,4.214963119,237.25,1902/9/26,42085,基金/黄金ETFI/000930博时黄金ETFI
蚂蚁聚宝,czh,0.0349,237.25,1900/1/0,42085,基金/黄金ETFI/000930博时黄金ETFI
国泰君安,czh,2900,0.421,1903/5/4,42528,基金/分级基金定投/150023深成指B
国泰君安,czh,3000,0.398,1903/4/8,42535,基金/分级基金定投/150023深成指B
国泰君安,czh,100,24.41,1906/9/10,42550,股票/股票雷达跟投/002405四维图新
富国基金,czh,839,1.191895113,1902/9/26,42195,基金/进取/161031富国中证工业4.0指数分级
淘宝理财,czh,366.14,2.72300213,1902/9/26,42085,基金/进取/519670银河行业优选
淘宝理财,czh,334.6760658,2.979,1902/9/26,42101,基金/进取/519670银河行业优选
淘宝理财,czh,322.0284238,3.096,1902/9/26,42117,基金/进取/519670银河行业优选
淘宝理财,czh,255.0524431,3.909,1902/9/26,42149,基金/进取/519670银河行业优选
淘宝理财,czh,227.7815856,4.377,1902/9/26,42165,基金/进取/519670银河行业优选
淘宝理财,czh,412.6655629,2.416,1902/9/26,42165,基金/进取/519670银河行业优选
淘宝理财,czh,412.1537826,2.419,1902/9/26,42197,基金/进取/519670银河行业优选
淘宝理财,czh,528.9124668,1.885,1902/9/26,42254,基金/进取/519670银河行业优选
淘宝理财,czh,1800.85,1.371,1900/1/0,42390,基金/进取/519670银河行业优选
银河基金,czh,761.1026034,1.306,1902/9/26,42450,基金/进取/519670银河行业优选
淘宝理财,czh,717.27,1.389992611,1902/9/26,42480,基金/进取/519670银河行业优选
国泰君安,czh,814,1.228501229,1902/9/26,42195,基金/进取/161024军工etf
国泰君安,czh,200,15.59031552,1908/7/19,42552,股票/股票雷达跟投/600837海通证券
国泰君安,czh,100,17.0290591,1904/9/3,42552,股票/股票雷达跟投/600171上海贝岭
富国基金,czh,2706.48,0.761,1910/10/17,42403,基金/进取/161024军工etf
国泰君安,czh,100,16.74346752,1904/8/3,42552,股票/股票雷达跟投/600999招商证券
国泰君安,czh,100,9.61,1902/7/7,42552,股票/股票雷达跟投/000939凯迪生态
国泰君安,czh,100,8.749711995,1902/5/29,42556,股票/股票雷达跟投/600491龙元建设
国泰君安,czh,100,14.84949153,1904/1/29,42556,股票/股票雷达跟投/002222福晶科技
国泰君安,czh,200,14.941056,1908/3/11,42555,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,600,15.748096,1925/11/28,42563,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,500,10.87910554,1914/11/30,42565,股票/股票雷达跟投/601599鹿港文化
蚂蚁聚宝,czh,0,0,1900/1/0,42380,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,0,0,1900/1/0,42457,基金/纯债/000563南方通利债券a
国泰君安,czh,300,16.06834944,1913/3/20,42570,股票/股票雷达跟投/002440闰土股份
国泰君安,czh,300,26.95723264,1922/3/5,42564,股票/股票雷达跟投/002673西部证券
蚂蚁聚宝,czh,0,1.204,1900/1/0,42380,基金/纯债/270048广发纯债债券A
